ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME
3,10.010,53.650,4,10.030,53.770,1,9.730,53.140,2,9.900,53.420
3,9.720,1:03.380,4,9.770,1:03.550,1,9.800,1:02.940,2,9.910,1:03.340
2,9.620,1:13.000,4,9.830,1:13.380,1,9.840,1:12.780,3,9.920,1:13.270
2,10.020,1:23.020,4,10.060,1:23.440,1,9.760,1:22.550,3,10.040,1:23.310
1,9.550,1:32.570,2,9.880,1:33.330,3,10.790,1:33.340,4,10.260,1:33.580
