GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME,BELGIUM POSITION,BELGIUM LAP TIME,BELGIUM ELAPSED TIME,POLAND POSITION,POLAND LAP TIME,POLAND ELAPSED TIME,HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME
2,12.53,12.53,4,12.79,12.79,1,12.43,12.43,3,12.66,12.66
2,9.45,21.98,4,9.37,22.16,1,9.41,21.84,3,9.40,22.06
2,9.26,31.24,4,9.65,31.81,1,9.15,30.99,3,9.36,31.42
1,8.82,40.06,4,9.46,41.27,2,9.08,40.07,3,8.90,40.32
1,8.85,48.91,4,9.47,50.74,2,9.02,49.09,3,8.82,49.14
1,8.84,57.75,4,8.68,59.42,2,8.80,57.89,3,8.83,57.97
1,8.56,1:06.31,4,8.30,1:07.72,2,8.52,1:06.41,3,8.55,1:06.52
1,8.76,1:15.07,3,8.52,1:16.24,4,15.89,1:22.30,2,8.67,1:15.19
1,8.63,1:23.70,3,8.69,1:24.93,4,9.25,1:31.55,2,8.63,1:23.82
1,8.51,1:32.21,3,8.67,1:33.60,4,9.49,1:41.04,2,8.58,1:32.40
2,9.16,1:41.37,3,9.02,1:42.62,4,10.16,1:51.20,1,8.86,1:41.26
2,9.16,1:50.53,3,9.11,1:51.73,4,10.45,2:01.65,1,9.21,1:50.47
2,9.24,1:59.77,3,9.80,2:01.53,4,9.82,2:11.47,1,9.14,1:59.61
2,8.91,2:08.68,3,9.80,2:11.33,4,9.53,2:21.00,1,9.02,2:08.63
1,9.13,2:17.81,3,8.86,2:20.19,4,9.39,2:30.39,2,9.21,2:17.84
2,8.99,2:26.80,3,8.40,2:28.59,4,9.48,2:39.87,1,8.76,2:26.60
1,8.75,2:35.55,3,8.71,2:37.30,4,9.08,2:48.95,2,9.09,2:35.69
1,8.81,2:44.36,3,8.73,2:46.034,4,8.98,2:57.931,2,8.80,2:44.49
