SHAOANG Liu POSITION,SHAOANG Liu LAP TIME,SHAOANG Liu ELAPSED TIME,Sebastien GAGNON POSITION,Sebastien GAGNON LAP TIME,Sebastien GAGNON ELAPSED TIME,SEO Beomsuk POSITION,SEO Beomsuk LAP TIME,SEO Beomsuk ELAPSED TIME,SHAOLIN SANDOR Liu POSITION,SHAOLIN SANDOR Liu LAP TIME,SHAOLIN SANDOR Liu ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME
1,12.15,12.15,3,12.49,12.49,5,12.69,12.69,4,12.50,12.50,2,12.40,12.40
1,9.71,21.86,4,9.78,22.27,4,9.58,22.27,2,9.38,21.88,3,9.69,22.09
2,9.56,31.42,5,9.59,31.86,4,9.40,31.67,3,9.60,31.48,1,9.24,31.33
1,9.02,40.44,5,9.13,40.99,4,9.24,40.91,3,9.06,40.54,2,9.14,40.47
1,8.93,49.37,4,8.85,49.84,5,8.97,49.88,3,9.10,49.64,2,9.13,49.60
1,9.21,58.58,5,9.14,58.98,3,8.90,58.78,2,9.09,58.73,4,9.27,58.87
1,8.78,1:07.36,3,8.91,1:07.89,4,9.28,1:08.06,2,9.09,1:07.82,5,12.43,1:11.30
1,9.27,1:16.63,4,9.01,1:16.90,3,8.79,1:16.85,2,8.94,1:16.76,5,8.35,1:19.65
1,9.22,1:25.859,4,9.11,1:26.012,3,9.11,1:25.966,2,9.12,1:25.886,5,8.17,1:27.820
