Avalon AARDOOM POSITION,Avalon AARDOOM LAP TIME,Avalon AARDOOM ELAPSED TIME,Angelina TARASOVA POSITION,Angelina TARASOVA LAP TIME,Angelina TARASOVA ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME
4,8.52,8.52,3,8.39,8.39,1,8.23,8.23,2,8.34,8.34,5,8.70,8.70
3,11.25,19.77,4,11.41,19.80,1,11.34,19.57,2,11.35,19.69,5,11.25,19.95
1,10.50,30.27,4,10.78,30.58,2,10.80,30.37,3,10.78,30.47,5,10.75,30.70
1,10.70,40.97,5,10.69,41.27,2,10.70,41.07,3,10.71,41.18,4,10.53,41.23
2,10.42,51.39,5,10.57,51.84,1,10.31,51.38,3,10.39,51.57,4,10.46,51.69
2,10.09,1:01.48,5,9.93,1:01.77,1,10.02,1:01.40,3,10.01,1:01.58,4,9.98,1:01.67
1,10.30,1:11.78,5,10.45,1:12.22,2,10.42,1:11.82,3,10.43,1:12.01,4,10.44,1:12.11
1,10.01,1:21.79,5,9.91,1:22.13,2,10.07,1:21.89,4,10.07,1:22.08,3,9.86,1:21.97
2,10.02,1:31.81,5,10.14,1:32.27,1,9.81,1:31.70,4,10.00,1:32.08,3,10.00,1:31.97
2,9.95,1:41.76,5,10.01,1:42.28,1,9.96,1:41.66,4,9.89,1:41.97,3,9.88,1:41.85
3,10.01,1:51.77,5,10.31,1:52.59,2,10.06,1:51.72,4,9.88,1:51.85,1,9.84,1:51.69
4,10.14,2:01.91,5,10.82,2:03.41,3,10.03,2:01.75,2,9.67,2:01.52,1,9.50,2:01.19
4,10.27,2:12.18,5,11.40,2:14.81,3,10.09,2:11.84,2,9.74,2:11.26,1,9.87,2:11.06
4,10.57,2:22.75,5,12.03,2:26.84,3,10.28,2:22.12,2,10.16,2:21.42,1,10.21,2:21.27
