Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
1,12.40,12.40,2,12.58,12.58,3,12.64,12.64,4,12.69,12.69
1,9.59,21.99,2,9.60,22.18,3,9.60,22.24,4,9.69,22.38
3,9.85,31.84,2,9.57,31.75,1,9.49,31.73,4,9.50,31.88
1,9.26,41.10,2,9.52,41.27,3,9.57,41.30,4,9.68,41.56
2,9.73,50.83,1,9.55,50.82,4,10.16,51.46,3,9.51,51.07
1,9.05,59.88,2,9.16,59.98,3,8.67,1:00.13,4,9.21,1:00.28
1,9.02,1:08.90,3,9.16,1:09.14,2,8.91,1:09.04,4,9.45,1:09.73
2,8.90,1:17.80,3,9.19,1:18.33,1,8.75,1:17.79,4,9.67,1:19.40
1,9.47,1:27.264,2,9.17,1:27.491,3,9.74,1:27.529,4,10.33,1:29.722
