Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Anna ROMANOWICZ POSITION,Anna ROMANOWICZ LAP TIME,Anna ROMANOWICZ ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME
1,7.06,7.06,2,7.39,7.39,4,7.48,7.48,3,7.40,7.40
1,9.47,16.53,2,9.54,16.94,4,9.93,17.42,3,9.57,16.97
1,9.25,25.79,3,9.23,26.17,4,9.44,26.86,2,9.14,26.12
1,9.40,35.20,2,9.35,35.53,3,9.63,36.50,4,34.75,1:00.87
2,10.20,45.398,1,9.85,45.380,3,10.34,46.840,4,16.08,1:16.944
