CHAN Ho Tung POSITION,CHAN Ho Tung LAP TIME,CHAN Ho Tung ELAPSED TIME,ZHANG Tianyi POSITION,ZHANG Tianyi LAP TIME,ZHANG Tianyi ELAPSED TIME,OH Han Yuan POSITION,OH Han Yuan LAP TIME,OH Han Yuan ELAPSED TIME,Luca SPECHENHAUSER POSITION,Luca SPECHENHAUSER LAP TIME,Luca SPECHENHAUSER ELAPSED TIME,Jens van 'T WOUT POSITION,Jens van 'T WOUT LAP TIME,Jens van 'T WOUT ELAPSED TIME
4,13.00,13.00,1,12.49,12.49,5,13.09,13.09,2,12.55,12.55,3,12.67,12.67
4,9.48,22.48,2,9.45,21.94,5,9.46,22.55,3,9.48,22.03,1,9.08,21.75
5,9.68,32.16,2,8.90,30.84,4,9.34,31.89,3,8.94,30.97,1,8.95,30.70
5,9.68,41.84,2,9.22,40.06,4,9.23,41.12,3,9.22,40.19,1,9.28,39.98
5,9.90,51.74,1,9.09,49.15,4,9.52,50.64,3,9.27,49.46,2,9.33,49.31
5,10.27,1:02.01,1,9.05,58.20,4,9.64,1:00.28,3,8.95,58.41,1,8.89,58.20
5,10.91,1:12.92,2,9.08,1:07.28,4,9.95,1:10.23,3,8.98,1:07.39,1,8.97,1:07.17
5,11.01,1:23.93,1,9.11,1:16.39,4,10.51,1:20.74,2,9.09,1:16.48,2,9.31,1:16.48
5,11.10,1:35.03,1,9.11,1:25.50,4,11.10,1:31.84,2,9.11,1:25.59,3,9.48,1:25.96
