Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME,Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME
3,8.88,8.88,4,9.06,9.06,2,8.74,8.74,1,8.50,8.50,5,9.07,9.07
3,11.55,20.43,4,11.48,20.54,2,11.55,20.29,1,11.67,20.17,5,11.67,20.74
3,10.62,31.05,4,10.65,31.19,2,10.65,30.94,1,10.66,30.83,5,10.66,31.40
3,10.63,41.68,4,10.63,41.82,2,10.65,41.59,1,10.66,41.49,5,10.54,41.94
3,10.28,51.96,4,10.26,52.08,2,10.16,51.75,1,10.26,51.75,5,10.30,52.24
3,10.06,1:02.02,4,10.05,1:02.13,1,10.06,1:01.81,2,10.15,1:01.90,5,10.11,1:02.35
3,9.83,1:11.85,4,9.91,1:12.04,1,9.96,1:11.77,2,9.94,1:11.84,5,9.78,1:12.13
1,9.78,1:21.63,3,9.74,1:21.78,5,10.24,1:22.01,2,9.86,1:21.70,4,9.78,1:21.91
1,9.86,1:31.49,2,9.81,1:31.59,5,9.94,1:31.95,3,9.89,1:31.59,4,9.91,1:31.82
1,9.85,1:41.34,2,9.85,1:41.44,5,9.86,1:41.81,3,10.05,1:41.64,4,9.89,1:41.71
2,9.71,1:51.05,3,9.65,1:51.09,4,9.71,1:51.52,5,9.96,1:51.60,1,9.29,1:51.00
2,9.57,2:00.62,3,9.61,2:00.70,4,9.62,2:01.14,5,10.13,2:01.73,1,9.45,2:00.45
2,9.69,2:10.31,3,9.72,2:10.42,4,9.79,2:10.93,5,10.32,2:12.05,1,9.74,2:10.19
2,9.93,2:20.237,3,9.96,2:20.376,4,10.45,2:21.377,5,10.75,2:22.794,1,9.85,2:20.036
