Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,WEI Jiguang POSITION,WEI Jiguang LAP TIME,WEI Jiguang ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME
2,13.330,13.330,3,13.450,13.450,4,13.490,13.490,1,13.200,13.200
2,11.230,24.560,4,11.310,24.770,3,11.150,24.640,1,11.250,24.450
3,9.920,34.490,4,9.990,34.760,2,9.790,34.440,1,9.840,34.300
4,9.760,44.250,3,9.430,44.200,2,9.530,43.970,1,9.440,43.740
3,9.720,53.980,4,9.790,53.990,2,9.780,53.760,1,9.820,53.560
4,9.620,1:03.600,3,9.560,1:03.550,2,9.560,1:03.320,1,9.680,1:03.250
4,9.430,1:13.040,2,9.180,1:12.730,1,9.390,1:12.720,3,9.650,1:12.900
3,9.210,1:22.250,1,9.140,1:21.870,2,9.400,1:22.130,4,9.490,1:22.390
2,9.400,1:31.650,1,9.550,1:31.430,3,9.730,1:31.870,4,10.420,1:32.820
