AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,SEO Ho-Jin POSITION,SEO Ho-Jin LAP TIME,SEO Ho-Jin ELAPSED TIME
4,15.298,15.298,1,14.749,14.749,3,15.173,15.173,2,14.834,14.834
3,10.666,25.963,2,10.982,25.731,4,10.832,26.005,1,10.656,25.490
1,9.419,35.381,3,9.823,35.554,4,9.671,35.676,2,9.923,35.413
2,9.263,44.644,3,9.167,44.721,4,9.253,44.929,1,9.223,44.636
2,9.042,53.686,3,9.058,53.778,4,8.957,53.885,1,8.993,53.628
3,8.997,1:02.683,2,8.836,1:02.614,1,8.700,1:02.584,4,9.145,1:02.773
2,9.064,1:11.746,4,9.394,1:12.007,3,9.261,1:11.845,1,8.701,1:11.473
2,9.279,1:21.025,1,8.937,1:20.944,3,9.213,1:21.057,4,9.603,1:21.076
1,9.34,1:30.360,3,9.55,1:30.487,4,9.74,1:30.796,2,9.33,1:30.406
