ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Tineke den DULK POSITION,Tineke den DULK LAP TIME,Tineke den DULK ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,Yulia SHISHKINA POSITION,Yulia SHISHKINA LAP TIME,Yulia SHISHKINA ELAPSED TIME,Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME
2,9.45,9.45,1,9.28,9.28,7,10.20,10.20,4,9.83,9.83,3,9.62,9.62,6,10.00,10.00,5,9.85,9.85
3,12.25,21.70,2,12.32,21.60,7,11.98,22.18,6,12.15,21.98,4,12.20,21.82,5,11.96,21.96,1,11.64,21.49
3,12.60,34.30,2,12.60,34.20,7,12.58,34.76,6,12.68,34.66,4,12.60,34.42,5,12.59,34.55,1,12.58,34.07
3,12.95,47.25,1,12.86,47.06,7,13.08,47.84,6,13.00,47.66,5,12.97,47.39,4,12.83,47.38,2,13.06,47.13
3,11.52,58.77,2,11.56,58.62,7,11.46,59.30,6,11.51,59.17,5,11.63,59.02,4,11.55,58.93,1,11.41,58.54
3,11.31,1:10.08,2,11.35,1:09.97,7,11.17,1:10.47,6,11.16,1:10.33,4,11.14,1:10.16,5,11.25,1:10.18,1,11.33,1:09.87
2,10.87,1:20.95,3,11.07,1:21.04,7,11.15,1:21.62,6,11.19,1:21.52,4,11.01,1:21.17,5,11.13,1:21.31,1,11.00,1:20.87
1,10.18,1:31.13,3,10.20,1:31.24,7,10.20,1:31.82,6,10.17,1:31.69,4,10.22,1:31.39,5,10.16,1:31.47,2,10.36,1:31.23
1,10.22,1:41.35,7,10.89,1:42.13,5,9.89,1:41.71,4,9.94,1:41.63,3,10.16,1:41.55,2,9.97,1:41.44,6,10.75,1:41.98
1,10.04,1:51.39,7,9.93,1:52.06,5,10.09,1:51.80,4,10.06,1:51.69,3,10.00,1:51.55,2,10.02,1:51.46,6,9.98,1:51.96
1,9.79,2:01.18,7,9.87,2:01.93,5,9.80,2:01.60,4,9.87,2:01.56,3,9.84,2:01.39,2,9.82,2:01.28,6,9.85,2:01.81
2,9.90,2:11.08,7,9.64,2:11.57,3,9.52,2:11.12,5,9.79,2:11.35,4,9.81,2:11.20,1,9.57,2:10.85,6,9.69,2:11.50
3,9.63,2:20.71,7,9.83,2:21.40,2,9.43,2:20.55,5,9.73,2:21.08,4,9.61,2:20.81,1,9.62,2:20.47,6,9.74,2:21.24
3,9.76,2:30.442,7,9.89,2:31.277,2,9.71,2:30.26,5,9.65,2:30.717,4,9.70,2:30.482,1,9.71,2:30.18,6,9.91,2:31.136
