John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Bor Luka URLEP POSITION,Bor Luka URLEP LAP TIME,Bor Luka URLEP ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,TSANG Kei Wing Kelvin POSITION,TSANG Kei Wing Kelvin LAP TIME,TSANG Kei Wing Kelvin ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME
7,10.25,10.25,3,9.58,9.58,4,9.88,9.88,6,10.02,10.02,2,9.42,9.42,1,9.30,9.30,5,10.00,10.00
6,11.12,21.37,3,11.44,21.02,4,11.24,21.12,7,11.48,21.50,2,11.49,20.91,1,11.47,20.77,5,11.26,21.26
6,10.86,32.23,3,10.87,31.89,4,10.86,31.98,7,10.82,32.32,2,10.87,31.78,1,10.83,31.60,5,10.85,32.11
6,10.81,43.04,3,10.74,42.63,4,10.76,42.74,7,10.81,43.13,2,10.71,42.49,1,10.80,42.40,5,10.78,42.89
6,10.75,53.79,3,10.79,53.42,4,10.78,53.52,7,10.76,53.89,2,10.83,53.32,1,10.77,53.17,5,10.78,53.67
5,10.43,1:04.22,4,10.73,1:04.15,6,10.71,1:04.23,7,10.53,1:04.42,2,10.73,1:04.05,1,10.75,1:03.92,3,10.45,1:04.12
2,9.75,1:13.97,4,10.13,1:14.28,6,10.21,1:14.44,5,9.99,1:14.41,7,10.83,1:14.88,3,10.14,1:14.06,1,9.76,1:13.88
1,9.75,1:23.72,5,9.98,1:24.26,6,9.90,1:24.34,4,9.61,1:24.02,7,11.22,1:26.10,3,9.88,1:23.94,2,9.96,1:23.84
1,9.81,1:33.53,6,10.17,1:34.43,5,10.05,1:34.39,4,9.85,1:33.87,7,11.87,1:37.97,3,9.81,1:33.75,2,9.81,1:33.65
1,9.53,1:43.06,6,10.56,1:44.99,5,10.14,1:44.53,4,9.72,1:43.59,7,12.63,1:50.60,3,9.55,1:43.30,2,9.53,1:43.18
1,9.31,1:52.37,6,10.93,1:55.92,5,10.34,1:54.87,4,9.91,1:53.50,7,14.10,2:04.70,3,9.27,1:52.57,2,9.22,1:52.40
1,9.18,2:01.55,6,11.19,2:07.11,5,10.81,2:05.68,4,10.42,2:03.92,7,12.74,2:17.44,3,9.16,2:01.73,2,9.16,2:01.56
3,9.52,2:11.07,6,11.25,2:18.36,5,11.22,2:16.90,4,11.10,2:15.02,7,12.53,2:29.97,2,9.21,2:10.94,1,9.07,2:10.63
3,,2:20.711,6,11.46,2:29.802,5,11.20,2:28.084,4,11.72,2:26.717,7,12.78,2:42.722,2,,2:20.692,1,9.54,2:20.158
