Jens van 'T WOUT POSITION,Jens van 'T WOUT LAP TIME,Jens van 'T WOUT ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,ZHONG Yuchen POSITION,ZHONG Yuchen LAP TIME,ZHONG Yuchen ELAPSED TIME
1,10.95,10.95,5,11.73,11.73,3,11.36,11.36,6,11.85,11.85,2,11.17,11.17,4,11.55,11.55
1,16.19,27.14,5,16.16,27.89,3,16.13,27.49,6,16.17,28.02,2,16.14,27.31,4,16.12,27.67
2,14.24,41.38,5,14.23,42.12,4,14.44,41.93,6,14.23,42.25,3,14.34,41.65,1,13.62,41.29
2,11.64,53.02,6,11.23,53.35,3,11.15,53.08,5,11.00,53.25,4,11.45,53.10,1,11.62,52.91
5,10.78,1:03.80,6,10.70,1:04.05,2,10.50,1:03.58,1,10.20,1:03.45,4,10.68,1:03.78,3,10.79,1:03.70
6,10.51,1:14.31,3,9.94,1:13.99,2,10.35,1:13.93,1,10.38,1:13.83,5,10.38,1:14.16,4,10.34,1:14.04
3,9.04,1:23.35,1,9.18,1:23.17,5,9.56,1:23.49,2,9.43,1:23.26,6,9.51,1:23.67,4,9.35,1:23.39
3,9.34,1:32.69,2,9.45,1:32.62,6,9.43,1:32.92,1,9.27,1:32.53,5,9.22,1:32.89,4,9.40,1:32.79
4,10.01,1:42.70,2,9.98,1:42.60,6,10.02,1:42.94,1,9.92,1:42.45,3,9.78,1:42.67,5,10.02,1:42.81
5,9.76,1:52.46,3,9.69,1:52.29,6,9.57,1:52.51,1,9.64,1:52.09,2,9.49,1:52.16,4,9.56,1:52.37
6,9.60,2:02.06,3,9.39,2:01.68,5,9.46,2:01.97,1,9.37,2:01.46,2,9.39,2:01.55,4,9.40,2:01.77
5,9.00,2:11.06,2,8.88,2:10.56,6,9.30,2:11.27,1,8.98,2:10.44,3,9.14,2:10.69,4,9.03,2:10.80
5,9.11,2:20.17,2,8.89,2:19.45,6,9.42,2:20.69,1,8.82,2:19.26,3,9.04,2:19.73,4,9.05,2:19.85
5,9.38,2:29.55,2,8.83,2:28.28,6,9.83,2:30.52,1,8.87,2:28.13,3,9.18,2:28.91,4,9.15,2:29.00
