Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
1,13.16,13.16,3,13.32,13.32,2,13.19,13.19,4,13.42,13.42
2,10.05,23.21,3,9.98,23.30,1,9.91,23.10,4,9.89,23.31
2,9.83,33.04,4,9.93,33.23,1,9.82,32.92,3,9.84,33.15
3,9.61,42.65,4,9.48,42.71,2,9.58,42.50,1,9.23,42.38
4,9.01,51.66,3,8.83,51.54,2,8.94,51.44,1,8.99,51.37
4,8.77,1:00.43,3,8.78,1:00.32,2,8.80,1:00.24,1,8.75,1:00.12
4,8.74,1:09.17,3,8.74,1:09.06,2,8.73,1:08.97,1,8.75,1:08.87
4,8.79,1:17.96,3,8.77,1:17.83,2,8.73,1:17.70,1,8.76,1:17.63
4,8.84,1:26.799,3,8.87,1:26.693,2,8.91,1:26.602,1,8.90,1:26.525
