Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Kuandyk SULEYMENOV POSITION,Kuandyk SULEYMENOV LAP TIME,Kuandyk SULEYMENOV ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME
1,13.24,13.24,3,13.43,13.43,2,13.25,13.25,4,13.58,13.58,5,13.69,13.69
2,10.15,23.39,3,10.10,23.53,1,10.03,23.28,4,10.04,23.62,5,10.05,23.74
2,9.43,32.82,4,9.40,32.93,1,9.44,32.72,5,9.46,33.08,3,9.15,32.89
2,8.77,41.59,3,8.80,41.73,1,8.81,41.53,5,8.83,41.91,4,8.90,41.79
2,8.82,50.41,3,8.78,50.51,1,8.82,50.35,5,8.86,50.77,4,8.83,50.62
2,8.87,59.28,3,8.91,59.42,1,8.93,59.28,5,8.91,59.68,4,8.87,59.49
4,9.59,1:08.87,2,9.11,1:08.53,5,10.18,1:09.46,3,9.03,1:08.71,1,8.87,1:08.36
4,9.01,1:17.88,2,9.01,1:17.54,5,9.81,1:19.27,3,9.14,1:17.85,1,8.95,1:17.31
0,,PEN,1,9.30,1:26.833,3,10.54,1:29.808,2,9.52,1:27.370,4,29.67,1:46.974
