Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Mark CHONG POSITION,Mark CHONG LAP TIME,Mark CHONG ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME
2,13.25,13.25,1,13.17,13.17,5,13.67,13.67,4,13.50,13.50,3,13.40,13.40
2,10.46,23.71,1,10.46,23.63,5,10.33,24.00,3,10.32,23.82,4,10.44,23.84
3,9.96,33.67,1,9.83,33.46,5,9.91,33.91,2,9.79,33.61,4,9.88,33.72
4,9.93,43.60,1,9.90,43.36,5,9.82,43.73,2,9.82,43.43,3,9.80,43.52
4,9.38,52.98,2,9.39,52.75,5,9.40,53.13,3,9.41,52.84,1,9.20,52.72
4,9.06,1:02.04,3,9.20,1:01.95,5,9.06,1:02.19,2,9.08,1:01.92,1,9.13,1:01.85
4,9.15,1:11.19,4,9.24,1:11.19,3,8.98,1:11.17,2,9.19,1:11.11,1,9.13,1:10.98
4,9.24,1:20.43,5,9.37,1:20.56,3,9.08,1:20.25,2,9.13,1:20.24,1,9.21,1:20.19
4,9.60,1:29.993,5,9.57,1:30.109,3,9.47,1:29.693,1,9.26,1:29.485,2,9.49,1:29.663
