Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME,Margriet de SCHUTTER POSITION,Margriet de SCHUTTER LAP TIME,Margriet de SCHUTTER ELAPSED TIME,Olga MASKAIKINA POSITION,Olga MASKAIKINA LAP TIME,Olga MASKAIKINA ELAPSED TIME
3,8.18,8.18,2,7.76,7.76,4,8.18,8.18,6,8.41,8.41,1,5.93,5.93,5,8.24,8.24
3,11.31,19.50,2,11.60,19.36,4,11.35,19.53,6,11.35,19.76,1,13.17,19.10,5,11.40,19.65
3,10.78,30.29,1,10.73,30.10,4,10.85,30.38,5,10.63,30.39,2,11.06,30.17,6,11.04,30.69
4,11.52,41.82,2,11.49,41.60,6,11.57,41.96,5,11.48,41.88,1,11.31,41.48,3,10.98,41.68
4,10.39,52.21,1,10.28,51.88,5,10.32,52.28,2,10.18,52.06,3,10.71,52.20,6,10.76,52.45
4,10.49,1:02.70,1,10.38,1:02.27,5,10.56,1:02.85,2,10.48,1:02.54,3,10.36,1:02.57,6,10.53,1:02.98
4,10.66,1:13.36,1,10.64,1:12.91,5,10.52,1:13.38,3,10.67,1:13.22,2,10.60,1:13.17,6,10.54,1:13.53
4,11.03,1:24.40,1,11.10,1:24.01,5,11.15,1:24.54,2,10.99,1:24.22,3,11.05,1:24.23,6,11.06,1:24.60
6,10.70,1:35.11,2,10.53,1:34.55,1,10.00,1:34.54,4,10.70,1:34.92,3,10.64,1:34.88,5,10.46,1:35.06
3,9.86,1:44.97,2,9.68,1:44.23,1,9.29,1:43.84,4,10.23,1:45.15,6,10.70,1:45.58,5,10.25,1:45.31
3,9.84,1:54.81,2,9.54,1:53.78,1,9.51,1:53.35,4,10.03,1:55.19,6,11.58,1:57.16,5,10.18,1:55.50
3,9.93,2:04.75,2,10.19,2:03.98,1,9.69,2:03.04,4,10.14,2:05.33,6,11.56,2:08.73,5,10.37,2:05.88
3,10.24,2:14.99,2,10.07,2:14.05,1,9.87,2:12.91,4,10.21,2:15.54,6,11.75,2:20.48,5,10.88,2:16.76
3,10.59,2:25.578,2,10.67,2:24.715,1,10.63,2:23.540,4,10.76,2:26.295,6,12.11,2:32.587,5,11.89,2:28.644
