Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
2,13.60,13.60,1,13.55,13.55,3,13.84,13.84,4,13.94,13.94
2,10.46,24.06,1,10.47,24.02,3,10.38,24.22,4,10.41,24.35
2,10.35,34.41,1,10.36,34.38,3,10.37,34.59,4,10.37,34.72
2,10.36,44.77,1,10.36,44.74,3,10.39,44.98,4,10.37,45.09
1,10.18,54.95,2,10.25,54.99,4,10.18,55.16,3,10.06,55.15
1,10.10,1:05.05,4,10.57,1:05.56,3,10.29,1:05.45,2,10.13,1:05.28
1,10.07,1:15.12,4,10.07,1:15.63,3,10.02,1:15.47,2,10.10,1:15.38
1,10.15,1:25.27,4,10.24,1:25.87,3,10.35,1:25.82,2,10.33,1:25.71
1,10.51,1:35.776,3,10.52,1:36.390,4,32.90,1:58.715,2,10.49,1:36.200
