Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Kyle UYEHARA POSITION,Kyle UYEHARA LAP TIME,Kyle UYEHARA ELAPSED TIME,Serdar ILTIR POSITION,Serdar ILTIR LAP TIME,Serdar ILTIR ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME
1,8.90,8.90,2,9.03,9.03,6,9.55,9.55,4,9.27,9.27,5,9.43,9.43,3,9.18,9.18
1,12.47,21.37,2,12.48,21.51,6,12.55,22.10,4,12.53,21.80,5,12.52,21.95,3,12.50,21.68
1,11.17,32.54,2,11.15,32.66,6,11.08,33.18,4,11.12,32.92,5,11.11,33.06,3,11.12,32.80
1,11.36,43.90,2,11.35,44.01,6,11.39,44.57,4,11.30,44.22,5,11.37,44.43,3,11.33,44.13
1,9.36,53.26,2,9.37,53.38,6,9.22,53.79,4,9.31,53.53,5,9.24,53.67,3,9.34,53.47
1,9.96,1:03.22,2,9.94,1:03.32,6,10.02,1:03.81,4,10.02,1:03.55,5,10.02,1:03.69,3,9.96,1:03.43
1,9.75,1:12.97,2,9.74,1:13.06,6,9.73,1:13.54,4,9.75,1:13.30,5,9.74,1:13.43,3,9.73,1:13.16
1,9.56,1:22.53,2,9.58,1:22.64,6,9.58,1:23.12,4,9.59,1:22.89,5,9.57,1:23.00,3,9.60,1:22.76
1,9.45,1:31.98,2,9.45,1:32.09,6,9.53,1:32.65,5,9.65,1:32.54,4,9.51,1:32.51,3,9.47,1:32.23
1,9.36,1:41.34,2,9.34,1:41.43,5,9.32,1:41.97,6,9.99,1:42.53,4,9.33,1:41.84,3,9.34,1:41.57
1,10.36,1:51.70,2,10.37,1:51.80,4,10.11,1:52.08,6,11.37,1:53.90,5,10.45,1:52.29,3,10.32,1:51.89
1,8.66,2:00.36,2,8.67,2:00.47,4,8.60,2:00.68,6,9.96,2:03.86,5,8.74,2:01.03,3,8.73,2:00.62
1,9.44,2:09.80,3,9.47,2:09.94,2,9.17,2:09.85,6,10.97,2:14.83,5,9.82,2:10.85,4,9.95,2:10.57
1,9.82,2:19.612,3,9.92,2:19.857,2,9.83,2:19.678,6,11.24,2:26.063,4,10.08,2:20.926,5,10.71,2:21.279
