Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME
3,13.56,13.56,1,13.43,13.43,2,13.43,13.43,4,13.70,13.70,5,13.85,13.85
2,9.78,23.34,3,10.04,23.47,1,9.82,23.25,4,9.91,23.61,5,9.86,23.71
1,9.67,33.01,3,9.74,33.21,2,9.86,33.11,4,9.71,33.32,5,9.77,33.48
1,9.57,42.58,3,9.54,42.75,2,9.58,42.69,4,9.58,42.90,5,9.60,43.08
1,9.56,52.14,3,9.58,52.33,2,9.54,52.23,4,9.55,52.45,5,9.55,52.63
1,9.60,1:01.74,3,9.60,1:01.93,2,9.61,1:01.84,4,9.61,1:02.06,5,9.56,1:02.19
1,9.54,1:11.28,3,9.55,1:11.48,2,9.53,1:11.37,4,9.50,1:11.56,5,9.62,1:11.81
1,9.52,1:20.80,4,9.47,1:20.95,2,9.51,1:20.88,3,9.39,1:20.95,5,9.81,1:21.62
1,9.71,1:30.509,3,9.93,1:30.879,4,10.39,1:31.267,2,9.66,1:30.610,5,10.22,1:31.840
