CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
2,13.81,13.81,1,13.80,13.80,4,13.83,13.83,3,13.83,13.83,5,14.10,14.10
1,9.97,23.78,3,10.23,24.03,2,10.12,23.95,4,10.29,24.12,5,10.20,24.30
1,10.26,34.04,3,10.23,34.26,2,10.22,34.17,4,10.22,34.34,5,10.14,34.44
1,10.14,44.18,3,10.11,44.37,2,10.11,44.28,4,10.07,44.41,5,10.12,44.56
1,9.96,54.14,4,9.89,54.26,3,9.96,54.24,2,9.81,54.22,5,9.90,54.46
2,9.55,1:03.69,3,9.92,1:04.18,5,10.80,1:05.04,1,9.30,1:03.52,4,9.81,1:04.27
2,9.39,1:13.08,4,9.84,1:14.02,5,10.17,1:15.21,1,9.46,1:12.98,3,9.62,1:13.89
2,9.68,1:22.76,4,10.10,1:24.12,5,10.40,1:25.61,1,9.77,1:22.75,3,9.46,1:23.35
1,9.68,1:32.440,0,,PEN,4,10.82,1:36.428,2,10.10,1:32.845,3,9.60,1:32.949
