Pavel RYBAKOV POSITION,Pavel RYBAKOV LAP TIME,Pavel RYBAKOV ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Rinat MAZHENOV POSITION,Rinat MAZHENOV LAP TIME,Rinat MAZHENOV ELAPSED TIME
1,6.93,6.93,2,7.16,7.16,3,7.31,7.31
1,9.24,16.17,2,9.09,16.25,3,9.24,16.55
2,8.92,25.09,1,8.77,25.02,3,8.99,25.54
2,9.01,34.10,1,8.93,33.95,3,9.14,34.68
2,9.14,43.240,1,9.03,42.973,3,9.56,44.231
