Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME
1,6.92,6.92,4,7.28,7.28,2,7.07,7.07,5,7.37,7.37,3,7.19,7.19
1,9.25,16.17,4,9.11,16.39,2,9.18,16.25,5,9.14,16.51,3,9.11,16.30
4,9.19,25.36,3,8.93,25.32,1,8.95,25.20,5,9.04,25.55,2,8.95,25.25
4,9.17,34.53,3,9.05,34.37,1,8.83,34.03,5,9.05,34.60,2,8.88,34.13
4,8.99,43.516,3,8.87,43.232,1,8.77,42.798,5,9.02,43.614,2,8.75,42.880
