CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME,Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,Sebastien GAGNON POSITION,Sebastien GAGNON LAP TIME,Sebastien GAGNON ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME
1,6.57,6.57,3,6.75,6.75,4,7.26,7.26,2,6.64,6.64
2,9.00,15.57,3,9.23,15.98,4,9.11,16.37,1,8.82,15.46
1,8.55,24.12,4,11.56,27.54,3,8.54,24.91,2,8.69,24.15
2,8.61,32.73,4,11.96,39.50,3,8.34,33.25,1,8.49,32.64
1,8.94,41.666,4,13.23,52.726,3,8.95,42.200,2,9.26,41.900
