Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME
2,7.76,7.76,3,7.79,7.79,4,9.49,9.49,1,7.09,7.09
1,8.04,15.81,3,10.02,17.82,4,26.03,35.52,2,9.41,16.50
1,9.01,24.83,3,10.07,27.89,0,,,2,9.21,25.72
1,8.97,33.81,3,10.45,38.35,0,,,2,9.59,35.32
1,9.64,43.444,3,10.61,48.956,0,,DQ,2,9.85,45.165
