Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME,SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME
1,6.686,6.686,2,6.883,6.883,3,6.999,6.999,4,7.178,7.178
1,9.456,16.141,2,9.372,16.255,3,9.311,16.309,4,9.201,16.378
3,9.323,25.464,2,9.199,25.454,1,9.109,25.418,4,9.212,25.590
3,9.446,34.909,2,9.253,34.706,1,9.234,34.651,4,9.366,34.955
4,9.80,44.708,3,9.46,44.158,1,9.29,43.937,2,9.18,44.132
