WANG Pengyu POSITION,WANG Pengyu LAP TIME,WANG Pengyu ELAPSED TIME,Bram STEENAART POSITION,Bram STEENAART LAP TIME,Bram STEENAART ELAPSED TIME,Pietro MARINELLI POSITION,Pietro MARINELLI LAP TIME,Pietro MARINELLI ELAPSED TIME,MURPHY Peter POSITION,MURPHY Peter LAP TIME,MURPHY Peter ELAPSED TIME,Krystian GISZKA POSITION,Krystian GISZKA LAP TIME,Krystian GISZKA ELAPSED TIME
1,12.94,12.94,3,13.07,13.07,2,13.00,13.00,4,13.14,13.14,5,13.30,13.30
2,9.84,22.78,3,9.84,22.91,1,9.67,22.67,4,9.90,23.04,5,9.93,23.23
2,9.42,32.20,3,9.43,32.34,1,9.46,32.13,4,9.37,32.41,5,9.36,32.59
2,9.43,41.63,3,9.42,41.76,1,9.44,41.57,4,9.44,41.85,5,9.40,41.99
1,9.04,50.67,3,9.06,50.82,2,9.21,50.78,4,9.19,51.04,5,9.42,51.41
1,9.17,59.84,2,9.17,59.99,4,9.66,1:00.44,3,9.26,1:00.30,5,9.53,1:00.94
1,9.17,1:09.01,2,9.13,1:09.12,3,9.13,1:09.57,4,9.46,1:09.76,5,9.72,1:10.66
1,9.30,1:18.31,2,9.30,1:18.42,3,9.33,1:18.90,4,9.65,1:19.41,5,10.09,1:20.75
1,9.58,1:27.89,2,9.60,1:28.02,3,9.57,1:28.47,4,9.92,1:29.338,5,10.78,1:31.536
