Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
2,14.855,14.855,3,15.026,15.026,1,14.640,14.640,4,15.074,15.074
2,11.042,25.897,4,10.969,25.994,1,11.222,25.862,3,10.875,25.948
2,10.115,36.012,4,10.250,36.243,1,10.049,35.910,3,10.234,36.182
3,10.123,46.134,4,9.979,46.222,1,9.907,45.816,2,9.782,45.963
4,9.666,55.800,2,9.542,55.764,3,9.968,55.784,1,9.624,55.586
2,9.663,1:05.463,4,9.845,1:05.608,3,9.791,1:05.574,1,9.765,1:05.350
2,9.208,1:14.670,3,9.177,1:14.785,4,9.267,1:14.841,1,9.153,1:14.503
3,9.227,1:23.896,2,9.022,1:23.807,4,9.139,1:23.980,1,9.161,1:23.663
2,9.08,1:32.976,3,9.27,1:33.068,4,9.15,1:33.126,1,9.23,1:32.889
