HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME
2,6.96,6.96,1,6.74,6.74,3,7.04,7.04,4,7.17,7.17
2,8.74,15.70,1,8.69,15.43,3,8.81,15.85,4,8.76,15.93
2,8.36,24.06,1,8.35,23.78,3,8.29,24.14,4,8.37,24.30
3,8.41,32.47,1,8.51,32.29,2,8.32,32.46,4,8.33,32.63
3,8.63,41.109,1,8.62,40.917,2,8.58,41.040,4,8.57,41.207
