Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
1,13.57,13.57,4,13.91,13.91,3,13.80,13.80,2,13.68,13.68
2,10.93,24.50,4,10.86,24.77,3,10.85,24.65,1,10.71,24.39
3,10.40,34.90,4,10.22,34.99,2,10.11,34.76,1,10.27,34.66
3,9.93,44.83,4,10.00,44.99,2,9.95,44.71,1,9.91,44.57
3,9.59,54.42,4,9.58,54.57,2,9.62,54.33,1,9.64,54.21
3,9.47,1:03.89,4,9.45,1:04.02,2,9.43,1:03.76,1,9.45,1:03.66
3,9.18,1:13.07,4,9.16,1:13.18,2,9.21,1:12.97,1,9.21,1:12.87
4,9.21,1:22.28,3,9.09,1:22.27,2,9.14,1:22.11,1,9.16,1:22.03
4,9.46,1:31.737,3,9.38,1:31.647,2,9.26,1:31.361,1,9.09,1:31.114
