Cheyenne GOH POSITION,Cheyenne GOH LAP TIME,Cheyenne GOH ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME
6,10.78,10.78,1,10.38,10.38,7,11.03,11.03,4,10.59,10.59,3,10.54,10.54,2,10.44,10.44,4,10.59,10.59
6,15.55,26.33,3,15.40,25.78,7,15.68,26.71,2,15.16,25.75,1,15.02,25.56,4,15.47,25.91,5,15.50,26.09
7,13.20,39.53,3,13.22,39.00,6,12.69,39.40,1,12.96,38.71,2,13.19,38.75,4,13.20,39.11,5,13.23,39.32
7,12.66,52.19,1,12.50,51.50,6,12.66,52.06,3,12.89,51.60,2,12.83,51.58,3,12.49,51.60,5,12.69,52.01
7,11.53,1:03.72,3,11.79,1:03.29,6,11.43,1:03.49,5,11.87,1:03.47,2,11.67,1:03.25,1,11.61,1:03.21,4,11.29,1:03.30
7,11.13,1:14.85,5,11.32,1:14.61,1,10.66,1:14.15,6,11.22,1:14.69,2,11.02,1:14.27,4,11.16,1:14.37,3,11.00,1:14.30
7,10.44,1:25.29,4,10.25,1:24.86,1,10.52,1:24.67,6,10.40,1:25.09,2,10.42,1:24.69,3,10.43,1:24.80,5,10.63,1:24.93
7,10.77,1:36.06,2,10.04,1:34.90,4,10.54,1:35.21,6,10.49,1:35.58,1,10.15,1:34.84,3,10.32,1:35.12,5,10.43,1:35.36
7,11.42,1:47.48,3,9.84,1:44.74,5,9.95,1:45.16,6,9.88,1:45.46,1,9.75,1:44.59,2,9.55,1:44.67,4,9.70,1:45.06
7,10.62,1:58.10,3,9.53,1:54.27,5,9.80,1:54.96,6,9.89,1:55.35,2,9.67,1:54.26,1,9.46,1:54.13,4,9.64,1:54.70
7,11.51,2:09.61,3,9.74,2:04.01,5,10.50,2:05.46,6,10.25,2:05.60,2,9.63,2:03.89,1,9.73,2:03.86,4,9.59,2:04.29
7,12.07,2:21.68,3,10.04,2:14.05,5,9.77,2:15.23,6,10.81,2:16.41,2,10.09,2:13.98,1,10.03,2:13.89,4,9.94,2:14.23
7,12.95,2:34.63,3,10.12,2:24.17,5,10.83,2:26.06,6,11.24,2:27.65,2,10.13,2:24.11,1,10.07,2:23.96,4,10.40,2:24.63
7,12.57,2:47.187,2,10.48,2:34.642,5,11.37,2:37.419,6,11.54,2:39.223,3,10.51,2:34.719,1,10.51,2:34.494,4,10.73,2:35.332
