Davide URBANI POSITION,Davide URBANI LAP TIME,Davide URBANI ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME
2,7.040,7.040,1,6.915,6.915,3,7.193,7.193,4,7.329,7.329,5,7.424,7.424
4,9.707,16.746,1,9.076,15.991,2,9.426,16.619,3,9.301,16.630,5,9.604,17.027
4,9.323,26.069,1,9.008,24.998,2,8.945,25.563,3,9.001,25.630,5,9.332,26.359
4,8.556,34.624,1,9.305,34.303,3,9.019,34.582,2,8.949,34.579,5,9.322,35.681
5,10.59,45.210,3,9.88,44.176,1,9.27,43.849,2,9.40,43.973,4,9.51,45.183
