HAN Seung Soo POSITION,HAN Seung Soo LAP TIME,HAN Seung Soo ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
2,14.86,14.86,1,14.67,14.67,4,15.15,15.15,3,15.00,15.00
3,10.98,25.84,1,11.04,25.71,2,10.63,25.78,4,10.99,25.99
3,9.37,35.21,2,9.38,35.09,1,9.24,35.02,4,9.33,35.32
2,9.11,44.32,3,9.32,44.41,1,9.19,44.21,4,9.10,44.42
1,8.86,53.18,4,9.06,53.47,2,8.99,53.20,3,8.90,53.32
1,8.78,1:01.96,4,8.95,1:02.42,2,8.89,1:02.09,3,8.86,1:02.18
1,8.68,1:10.64,4,8.81,1:11.23,2,8.63,1:10.72,3,8.66,1:10.84
1,8.73,1:19.37,4,9.02,1:20.25,2,8.73,1:19.45,3,8.71,1:19.55
1,8.89,1:28.261,3,9.55,1:29.794,2,9.00,1:28.443,0,,PEN
