Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME
1,7.46,7.46,2,7.47,7.47,3,7.76,7.76,4,8.12,8.12
1,9.68,17.15,2,9.78,17.26,3,9.82,17.58,4,9.60,17.73
1,9.42,26.57,2,9.33,26.59,3,9.28,26.86,4,9.20,26.93
1,9.46,36.04,2,9.78,36.37,3,9.57,36.44,4,9.64,36.57
2,10.36,46.391,1,9.95,46.319,3,9.99,46.426,4,9.97,46.534
