WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME
2,14.14,14.14,3,14.33,14.33,1,13.96,13.96
2,10.38,24.52,3,10.38,24.71,1,10.51,24.47
2,10.45,34.97,3,10.47,35.18,1,10.47,34.94
2,10.64,45.61,3,10.58,45.76,1,10.55,45.49
2,10.53,56.14,3,10.51,56.27,1,10.59,56.08
1,10.41,1:06.55,3,10.45,1:06.72,2,10.56,1:06.64
1,10.05,1:16.60,2,10.11,1:16.83,3,10.54,1:17.18
1,10.00,1:26.60,2,9.99,1:26.82,3,10.63,1:27.81
1,10.01,1:36.608,2,10.15,1:36.961,3,10.99,1:38.795
