Geneve BELANGER POSITION,Geneve BELANGER LAP TIME,Geneve BELANGER ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,ZHANG Chutong POSITION,ZHANG Chutong LAP TIME,ZHANG Chutong ELAPSED TIME
4,14.62,14.62,3,14.60,14.60,2,14.42,14.42,1,14.30,14.30
1,10.76,25.38,3,10.92,25.52,4,11.29,25.71,2,11.11,25.41
1,10.46,35.84,3,10.44,35.96,4,10.31,36.02,2,10.54,35.95
2,10.19,46.03,4,10.20,46.16,1,9.88,45.90,3,10.09,46.04
3,9.86,55.89,4,9.77,55.93,1,9.91,55.81,2,9.82,55.86
4,9.87,1:05.76,2,9.80,1:05.73,1,9.77,1:05.58,3,9.89,1:05.75
2,9.50,1:15.26,3,9.61,1:15.34,1,9.63,1:15.21,4,9.73,1:15.48
2,9.56,1:24.82,3,9.65,1:24.99,1,9.57,1:24.78,4,9.71,1:25.19
2,9.78,1:34.604,3,9.71,1:34.706,4,10.03,1:34.815,1,9.20,1:34.390
