In Suk HONG POSITION,In Suk HONG LAP TIME,In Suk HONG ELAPSED TIME,CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME
1,6.70,6.70,4,7.10,7.10,5,7.21,7.21,2,6.91,6.91,3,6.91,6.91
1,8.49,15.19,2,8.48,15.58,5,14.81,22.02,4,9.40,16.31,3,9.40,16.31
1,8.80,23.99,2,9.24,24.82,5,9.23,31.25,4,9.10,25.41,3,9.10,25.41
1,8.62,32.61,2,8.66,33.48,5,9.28,40.53,4,9.19,34.60,3,9.18,34.59
2,9.32,41.929,1,8.27,41.742,4,9.06,49.582,0,,PEN,3,9.42,44.002
