David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Andrej VALACH POSITION,Andrej VALACH LAP TIME,Andrej VALACH ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
4,12.74,12.74,1,12.42,12.42,2,12.47,12.47,5,12.88,12.88,3,12.70,12.70
4,9.60,22.35,1,9.47,21.89,2,9.58,22.05,5,9.52,22.40,3,9.46,22.17
4,9.34,31.69,1,9.52,31.42,2,9.43,31.49,5,9.48,31.89,3,9.44,31.61
3,9.56,41.25,1,9.69,41.11,2,9.69,41.19,5,9.65,41.55,4,9.71,41.33
4,9.54,50.80,1,9.38,50.49,2,9.31,50.50,5,9.42,50.98,3,9.25,50.58
4,9.19,59.99,1,9.10,59.59,2,9.15,59.66,5,9.16,1:00.14,3,9.21,59.79
4,9.30,1:09.30,1,9.22,1:08.82,2,9.17,1:08.83,5,9.37,1:09.51,3,9.14,1:08.93
4,9.63,1:18.93,1,9.28,1:18.11,2,9.38,1:18.22,5,9.66,1:19.17,3,9.42,1:18.36
4,10.00,1:28.928,2,9.80,1:27.907,1,9.49,1:27.707,5,9.91,1:29.077,3,9.67,1:28.027
