Aaron HEO POSITION,Aaron HEO LAP TIME,Aaron HEO ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Ashwin Calen DSILVA POSITION,Ashwin Calen DSILVA LAP TIME,Ashwin Calen DSILVA ELAPSED TIME,Jack BURROWS POSITION,Jack BURROWS LAP TIME,Jack BURROWS ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Omer Faruk SAYLAR POSITION,Omer Faruk SAYLAR LAP TIME,Omer Faruk SAYLAR ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME
3,10.01,10.01,1,9.82,9.82,7,10.34,10.34,6,10.15,10.15,5,10.13,10.13,4,10.06,10.06,2,9.83,9.83
6,12.13,22.14,2,12.05,21.87,7,11.97,22.31,4,11.86,22.01,5,11.92,22.05,3,11.89,21.95,1,11.94,21.77
6,10.43,32.57,3,10.41,32.28,7,10.46,32.77,1,10.13,32.14,4,10.35,32.40,5,10.46,32.41,2,10.43,32.20
6,10.11,42.68,1,9.98,42.26,7,10.11,42.88,3,10.22,42.36,4,10.10,42.50,5,10.19,42.60,2,10.12,42.32
6,10.15,52.83,1,10.23,52.49,7,10.29,53.17,4,10.44,52.80,3,10.19,52.69,5,10.21,52.81,2,10.26,52.58
4,10.31,1:03.14,1,10.34,1:02.83,5,10.16,1:03.33,6,10.64,1:03.44,3,10.35,1:03.04,7,10.84,1:03.65,2,10.38,1:02.96
4,10.07,1:13.21,2,10.19,1:13.02,7,10.81,1:14.14,5,9.91,1:13.35,1,9.87,1:12.91,6,9.83,1:13.48,3,10.16,1:13.12
4,9.60,1:22.81,3,9.65,1:22.67,7,10.86,1:25.00,5,9.64,1:22.99,1,9.58,1:22.49,6,9.75,1:23.23,1,9.37,1:22.49
4,9.24,1:32.05,2,9.15,1:31.82,7,10.72,1:35.72,5,9.53,1:32.52,1,9.27,1:31.76,6,9.88,1:33.11,3,9.35,1:31.84
4,9.42,1:41.47,1,9.24,1:41.06,7,10.89,1:46.61,5,9.63,1:42.15,2,9.40,1:41.16,6,10.31,1:43.42,3,9.39,1:41.23
4,9.58,1:51.05,1,9.40,1:50.46,7,11.16,1:57.77,5,9.79,1:51.94,2,9.37,1:50.53,6,10.80,1:54.22,3,9.43,1:50.66
4,10.02,2:01.07,1,9.35,1:59.81,7,11.89,2:09.66,5,10.02,2:01.96,2,9.37,1:59.90,6,11.24,2:05.46,3,9.30,1:59.96
4,10.63,2:11.70,1,9.19,2:09.00,7,11.76,2:21.42,5,10.31,2:12.27,2,9.30,2:09.20,6,11.93,2:17.39,3,9.32,2:09.28
4,11.25,2:22.95,1,9.48,2:18.48,7,11.80,2:33.22,5,10.79,2:23.06,3,9.95,2:19.15,6,12.06,2:29.45,2,9.72,2:19.00
