NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
5,13.15,13.15,2,12.81,12.81,3,12.97,12.97,1,12.66,12.66,4,13.01,13.01
3,9.56,22.71,2,9.88,22.69,5,10.12,23.09,1,9.96,22.62,4,9.83,22.84
1,9.16,31.87,3,9.34,32.03,4,9.07,32.16,2,9.32,31.94,5,9.32,32.16
1,9.16,41.03,3,9.17,41.20,4,9.15,41.31,2,9.10,41.04,5,9.32,41.48
2,9.06,50.09,3,8.95,50.15,4,8.94,50.25,1,8.94,49.98,5,8.87,50.35
2,9.69,59.78,4,9.70,59.85,3,9.60,59.85,1,9.68,59.66,5,9.65,1:00.00
2,8.78,1:08.56,3,8.81,1:08.66,4,9.00,1:08.85,1,8.73,1:08.39,5,8.94,1:08.94
2,9.32,1:17.88,3,9.22,1:17.88,5,9.49,1:18.34,1,9.45,1:17.84,4,9.18,1:18.12
1,9.06,1:26.931,2,9.20,1:27.072,4,9.11,1:27.447,3,9.55,1:27.389,5,9.34,1:27.455
