RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,ITALY POSITION,ITALY LAP TIME,ITALY ELAPSED TIME,BELARUS POSITION,BELARUS LAP TIME,BELARUS ELAPSED TIME,UKRAINE POSITION,UKRAINE LAP TIME,UKRAINE ELAPSED TIME
1,12.730,12.730,4,13.190,13.190,3,13.020,13.020,2,12.830,12.830
2,9.600,22.330,4,9.710,22.910,1,8.960,21.980,3,9.810,22.640
1,9.420,31.760,4,9.810,32.730,3,9.940,31.930,2,9.120,31.770
1,9.420,41.180,3,8.720,41.450,4,9.610,41.540,2,9.470,41.250
2,9.000,50.180,3,9.920,51.370,4,9.890,51.440,1,8.880,50.130
1,9.760,59.940,3,8.980,1:00.350,4,8.980,1:00.420,2,9.960,1:00.090
1,9.360,1:09.310,3,9.180,1:09.540,4,9.640,1:10.060,2,9.220,1:09.310
2,9.460,1:18.770,3,9.340,1:18.880,4,9.090,1:19.160,1,8.950,1:18.270
2,9.420,1:28.190,3,9.420,1:28.310,4,9.980,1:29.150,1,9.470,1:27.740
1,9.040,1:37.240,2,9.320,1:37.630,4,10.820,1:39.970,3,9.900,1:37.640
1,8.750,1:45.990,3,9.220,1:46.860,4,7.690,1:47.660,2,8.950,1:46.590
1,8.950,1:54.950,3,9.260,1:56.120,4,9.360,1:57.030,2,9.210,1:55.810
1,9.170,2:04.130,2,8.460,2:04.580,4,8.600,2:05.640,3,9.240,2:05.060
2,9.200,2:13.330,1,8.710,2:13.290,4,9.440,2:15.080,3,9.260,2:14.320
1,9.030,2:22.370,2,10.200,2:23.490,4,10.640,2:25.730,3,9.470,2:23.800
1,9.020,2:31.400,2,8.010,2:31.500,4,9.600,2:35.330,3,9.460,2:33.260
2,9.670,2:41.070,1,9.510,2:41.020,4,9.320,2:44.660,3,10.010,2:43.280
1,9.370,2:50.450,2,9.470,2:50.490,4,9.620,2:54.280,3,9.080,2:52.370
1,9.420,2:59.880,2,9.610,3:00.100,4,9.280,3:03.570,3,9.550,3:01.920
1,9.310,3:09.200,2,9.110,3:09.210,4,9.290,3:12.860,3,9.280,3:11.210
2,9.580,3:18.780,1,9.400,3:18.610,4,9.960,3:22.830,3,9.540,3:20.750
2,9.860,3:28.650,1,9.950,3:28.560,4,9.510,3:32.350,3,9.550,3:30.310
1,9.510,3:38.160,2,9.770,3:38.340,4,9.580,3:41.930,3,9.480,3:39.800
2,9.840,3:48.010,1,9.460,3:47.800,4,8.920,3:50.860,3,9.560,3:49.360
1,9.310,3:57.330,2,9.620,3:57.430,4,17.870,4:08.730,3,9.510,3:58.880
2,9.740,4:07.070,1,9.450,4:06.880,4,11.800,4:20.540,3,9.510,4:08.390
1,9.620,4:16.700,2,10.270,4:17.150,4,11.140,4:31.680,3,8.800,4:17.190
1,10.090,4:26.800,2,9.690,4:26.850,4,10.180,4:41.870,3,9.960,4:27.160
2,9.690,4:36.490,1,9.560,4:36.410,4,9.760,4:51.630,3,10.310,4:37.470
1,9.530,4:46.030,2,10.280,4:46.690,4,9.330,5:00.970,3,9.360,4:46.840
1,9.500,4:55.540,2,9.080,4:55.780,4,9.300,5:10.270,3,9.590,4:56.440
1,9.200,5:04.740,2,9.260,5:05.040,4,10.770,5:21.050,3,9.450,5:05.890
1,9.240,5:13.980,2,9.220,5:14.260,4,10.850,5:31.900,3,9.620,5:15.510
1,8.890,5:22.880,2,8.940,5:23.210,4,9.050,5:40.960,3,10.000,5:25.510
1,9.290,5:32.170,2,9.290,5:32.500,4,15.440,5:56.410,3,9.470,5:34.990
2,9.440,5:41.620,1,9.020,5:41.530,4,5.390,6:01.800,3,10.410,5:45.400
1,9.240,5:50.860,2,9.350,5:50.880,4,10.300,6:12.100,3,9.930,5:55.330
1,9.290,6:00.160,2,9.400,6:00.280,4,9.810,6:21.920,3,9.850,6:05.190
2,9.530,6:09.690,1,8.820,6:09.100,4,10.930,6:32.850,3,9.610,6:14.810
1,9.640,6:19.340,2,10.400,6:19.510,4,10.530,6:43.390,3,9.550,6:24.360
2,9.630,6:28.970,1,9.430,6:28.940,4,21.010,7:04.400,3,10.500,6:34.860
1,9.090,6:38.070,2,9.320,6:38.270,4,9.710,7:14.120,3,9.940,6:44.810
2,9.430,6:47.500,1,8.840,6:47.110,4,9.930,7:24.060,3,9.640,6:54.450
1,9.300,6:56.810,2,9.750,6:56.870,4,10.620,7:34.680,3,10.010,7:04.460
2,9.360,7:06.170,1,9.060,7:05.930,0,,,3,9.600,7:14.070
