Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Benjamin MACE POSITION,Benjamin MACE LAP TIME,Benjamin MACE ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME
2,6.68,6.68,1,6.57,6.57,3,6.73,6.73,4,7.17,7.17
2,9.28,15.96,1,9.35,15.93,4,9.54,16.27,3,9.02,16.19
3,8.95,24.91,1,8.89,24.82,2,8.56,24.83,4,8.84,25.04
4,9.15,34.06,3,9.00,33.83,1,8.91,33.75,2,8.77,33.81
4,9.60,43.660,3,9.48,43.310,2,9.08,42.823,1,8.98,42.786
