Sebastian KLOSINSKI POSITION,Sebastian KLOSINSKI LAP TIME,Sebastian KLOSINSKI ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME
3,13.86,13.86,4,14.03,14.03,1,13.75,13.75,2,13.80,13.80,5,14.13,14.13
3,10.56,24.42,5,10.61,24.64,1,10.51,24.26,2,10.55,24.35,4,10.42,24.55
3,10.28,34.70,5,10.27,34.91,1,10.24,34.50,2,10.26,34.61,4,10.17,34.72
5,10.22,44.92,4,9.93,44.84,2,10.13,44.63,1,9.93,44.54,3,10.02,44.74
5,10.14,55.06,4,10.17,55.01,2,10.22,54.85,1,10.19,54.73,3,10.21,54.95
3,9.65,1:04.71,5,10.11,1:05.12,1,9.74,1:04.59,2,9.96,1:04.69,4,9.91,1:04.86
3,9.74,1:14.45,5,9.86,1:14.98,1,9.26,1:13.85,4,9.89,1:14.58,2,9.28,1:14.14
3,9.50,1:23.95,5,10.27,1:25.25,1,9.02,1:22.87,4,9.55,1:24.13,2,9.10,1:23.24
0,,PEN,4,11.58,1:36.822,1,9.45,1:32.311,3,9.57,1:33.691,2,9.25,1:32.487
