Jamie MACDONALD POSITION,Jamie MACDONALD LAP TIME,Jamie MACDONALD ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
2,14.14,14.14,5,14.32,14.32,3,14.20,14.20,4,14.31,,1,14.04,14.04
2,10.39,24.53,5,10.61,24.93,3,10.45,24.65,4,10.45,,1,10.29,24.33
2,10.25,34.78,5,10.17,35.10,3,10.22,34.87,4,10.22,,1,10.33,34.66
2,10.21,44.99,5,10.24,45.34,3,10.22,45.09,4,10.25,,1,10.22,44.88
1,9.59,54.58,5,9.69,55.03,3,9.70,54.79,4,9.68,,2,9.86,54.74
1,9.38,1:03.96,5,9.34,1:04.37,2,9.27,1:04.06,3,9.30,,4,9.50,1:04.24
1,9.32,1:13.28,4,9.31,1:13.68,2,9.32,1:13.38,3,9.30,,5,9.55,1:13.79
2,9.47,1:22.75,4,9.35,1:23.03,1,9.24,1:22.62,3,9.41,,5,9.65,1:23.44
2,,1:32.373,3,9.65,1:32.664,1,,1:32.346,5,25.28,,4,9.81,1:33.232
