Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Jonas KAUFMANN-LUDWIG POSITION,Jonas KAUFMANN-LUDWIG LAP TIME,Jonas KAUFMANN-LUDWIG ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
5,13.06,13.06,2,12.83,12.83,1,12.77,12.77,4,12.99,12.99,3,12.93,12.93
4,9.87,22.93,3,9.98,22.81,1,9.77,22.54,5,9.94,22.93,2,9.73,22.66
4,9.81,32.74,3,9.81,32.62,1,9.86,32.40,5,9.89,32.82,2,9.77,32.43
4,9.35,42.09,3,9.33,41.95,2,9.44,41.84,5,9.44,42.26,1,9.34,41.77
5,9.60,51.69,3,9.48,51.43,2,9.52,51.36,4,9.28,51.54,1,9.48,51.25
5,9.53,1:01.22,2,9.40,1:00.83,1,9.40,1:00.76,4,9.52,1:01.06,3,9.63,1:00.88
5,9.52,1:10.74,2,9.49,1:10.32,1,9.50,1:10.26,4,9.52,1:10.58,3,9.56,1:10.44
5,9.72,1:20.46,1,9.30,1:19.62,3,9.69,1:19.95,4,9.59,1:20.17,2,9.50,1:19.94
5,9.76,1:30.216,1,9.38,1:28.994,3,10.08,1:30.026,4,9.90,1:30.066,2,9.42,1:29.356
