KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME,BELGIUM POSITION,BELGIUM LAP TIME,BELGIUM ELAPSED TIME
3,14.013,14.013,1,13.717,13.717,2,13.861,13.861
3,10.536,24.548,2,10.729,24.446,1,10.529,24.390
3,11.058,35.606,2,10.912,35.357,1,10.835,35.224
3,9.535,45.140,1,9.360,44.716,2,9.597,44.821
3,8.978,54.118,1,9.296,54.012,2,9.250,54.071
3,9.660,1:03.778,1,9.438,1:03.450,2,9.495,1:03.565
3,9.599,1:13.376,1,9.706,1:13.155,2,9.686,1:13.250
3,9.779,1:23.155,2,9.916,1:23.071,1,9.784,1:23.034
3,10.624,1:33.778,1,10.503,1:33.574,2,10.554,1:33.587
3,9.321,1:43.099,1,9.368,1:42.942,2,9.442,1:43.029
3,9.457,1:52.555,2,9.552,1:52.493,1,9.457,1:52.486
3,10.613,2:03.168,1,10.438,2:02.930,2,10.493,2:02.978
3,9.847,2:13.015,2,10.039,2:12.969,1,9.893,2:12.871
3,9.912,2:22.926,1,9.745,2:22.713,2,9.945,2:22.816
3,10.344,2:33.269,1,10.385,2:33.097,2,10.336,2:33.152
3,9.264,2:42.533,1,9.288,2:42.384,2,9.242,2:42.394
3,9.396,2:51.929,1,9.375,2:51.758,2,9.404,2:51.797
3,10.467,3:02.395,1,10.123,3:01.881,2,10.220,3:02.016
3,10.045,3:12.439,1,10.225,3:12.106,2,10.093,3:12.109
3,9.727,3:22.166,1,9.842,3:21.948,2,9.872,3:21.980
3,10.245,3:32.411,2,10.327,3:32.274,1,10.228,3:32.207
3,9.369,3:41.779,2,9.352,3:41.626,1,9.417,3:41.624
3,9.323,3:51.101,1,9.348,3:50.973,2,9.454,3:51.077
1,8.765,3:59.865,2,10.261,4:01.233,3,10.166,4:01.243
1,8.903,4:08.767,3,10.202,4:11.435,2,10.115,4:11.357
1,8.938,4:17.705,3,9.796,4:21.231,2,9.793,4:21.150
1,8.803,4:26.507,3,10.147,4:31.378,2,10.210,4:31.360
1,8.739,4:35.246,2,9.259,4:40.636,3,9.306,4:40.665
1,8.969,4:44.215,3,9.280,4:49.916,2,8.942,4:49.607
1,9.432,4:53.647,2,9.217,4:59.133,3,13.910,5:03.516
1,9.827,5:03.473,2,9.473,5:08.605,3,9.097,5:12.612
1,9.088,5:12.560,2,9.275,5:17.879,3,9.458,5:22.070
1,8.905,5:21.465,2,9.320,5:27.198,3,9.429,5:31.499
1,8.923,5:30.388,2,9.277,5:36.475,3,9.771,5:41.269
1,9.009,5:39.397,2,9.529,5:46.003,3,9.234,5:50.503
1,9.039,5:48.436,2,9.538,5:55.541,3,8.851,5:59.353
1,8.971,5:57.406,2,9.516,6:05.057,3,9.095,6:08.448
1,8.964,6:06.370,2,9.518,6:14.575,3,9.301,6:17.749
1,8.280,6:14.649,2,9.493,6:24.067,3,9.576,6:27.324
1,9.510,6:24.158,2,9.049,6:33.116,3,9.432,6:36.756
1,8.904,6:33.062,2,10.079,6:43.194,3,9.254,6:46.010
1,9.215,6:42.277,2,9.794,6:52.987,3,8.961,6:54.970
1,9.642,6:51.919,2,9.573,7:02.560,3,9.030,7:03.999
1,9.081,7:00.999,2,9.208,7:11.768,3,9.216,7:13.214
1,10.45,7:11.448,2,9.94,7:21.704,3,9.58,7:22.787
