WOJNOWSKI Mariusz POSITION,WOJNOWSKI Mariusz LAP TIME,WOJNOWSKI Mariusz ELAPSED TIME,Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME,Derek GRAY POSITION,Derek GRAY LAP TIME,Derek GRAY ELAPSED TIME,Leon FLACK POSITION,Leon FLACK LAP TIME,Leon FLACK ELAPSED TIME
3,14.882,14.882,4,14.990,14.990,1,14.765,14.765,2,14.779,14.779
3,11.509,26.390,1,11.117,26.106,2,11.462,26.226,4,11.682,26.461
4,10.149,36.539,1,10.236,36.342,2,10.148,36.374,3,9.958,36.418
4,10.028,46.567,1,9.773,46.115,3,9.990,46.363,2,9.862,46.280
4,9.321,55.888,1,9.504,55.618,3,9.374,55.736,2,9.414,55.694
4,9.355,1:05.242,2,9.460,1:05.078,1,9.297,1:05.033,3,9.404,1:05.098
3,9.595,1:14.837,4,9.862,1:14.939,1,9.105,1:14.137,2,9.090,1:14.187
3,10.114,1:24.951,4,10.378,1:25.317,1,9.322,1:23.459,2,9.428,1:23.615
0,,DQ,3,10.54,1:35.848,1,10.18,1:33.632,2,10.09,1:33.696
