Christopher JARDEN POSITION,Christopher JARDEN LAP TIME,Christopher JARDEN ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Michael PICKUP POSITION,Michael PICKUP LAP TIME,Michael PICKUP ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME
4,7.43,7.43,1,6.92,6.92,3,7.07,7.07,5,7.62,7.62,2,6.99,6.99
4,9.58,17.01,2,9.09,16.01,3,9.03,16.10,5,9.51,17.13,1,8.89,15.88
4,9.17,26.18,2,8.66,24.67,3,8.70,24.80,5,9.14,26.27,1,8.62,24.50
4,9.29,35.47,3,8.82,33.49,2,8.68,33.48,5,9.37,35.64,1,8.78,33.28
0,,PHOTO,3,9.03,42.52,2,8.91,42.39,0,,PHOTO,1,9.03,42.31
