Stephen Paul KILARI POSITION,Stephen Paul KILARI LAP TIME,Stephen Paul KILARI ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME
4,13.69,13.69,3,13.04,13.04,1,12.81,12.81,2,12.91,12.91
4,10.11,23.80,3,9.83,22.87,1,9.87,22.68,2,9.84,22.75
4,10.10,33.90,3,9.89,32.76,1,9.90,32.58,2,9.92,32.67
4,10.28,44.18,3,10.00,42.76,1,9.97,42.55,2,9.99,42.66
4,10.49,54.67,3,9.96,52.72,2,10.03,52.58,1,9.89,52.55
4,10.81,1:05.48,2,9.42,1:02.14,3,9.93,1:02.51,1,9.50,1:02.05
4,11.48,1:16.96,2,9.37,1:11.51,3,9.96,1:12.47,1,9.35,1:11.40
4,12.48,1:29.44,2,9.25,1:20.76,3,10.35,1:22.82,1,9.24,1:20.64
4,12.61,1:42.049,2,9.12,1:29.876,3,10.65,1:33.468,1,9.13,1:29.763
