Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Christopher JARDEN POSITION,Christopher JARDEN LAP TIME,Christopher JARDEN ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,Aliaksandr VOLKAU POSITION,Aliaksandr VOLKAU LAP TIME,Aliaksandr VOLKAU ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
3,13.50,13.50,5,13.83,13.83,4,13.68,13.68,2,13.41,,1,13.31,13.31
3,10.60,24.10,5,10.48,24.31,4,10.56,24.24,2,10.61,,1,10.63,23.94
3,10.48,34.58,5,10.57,34.88,4,10.50,34.74,2,10.45,,1,10.48,34.42
2,9.26,43.84,5,9.37,44.25,4,9.27,44.01,2,9.37,,1,9.31,43.73
1,9.03,52.87,3,9.14,53.39,2,9.02,53.03,4,9.64,,5,9.91,53.64
1,9.11,1:01.98,3,9.37,1:02.76,2,9.03,1:02.06,5,9.44,,4,9.25,1:02.89
1,8.92,1:10.90,4,9.65,1:12.41,2,8.92,1:10.98,5,9.57,,3,9.30,1:12.19
1,9.08,1:19.98,4,9.91,1:22.32,2,9.11,1:20.09,5,10.00,,3,9.55,1:21.74
1,9.30,1:29.28,4,10.45,1:32.77,2,9.27,1:29.36,5,10.96,,3,10.12,1:31.86
