CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME,Emily ROSEMOND POSITION,Emily ROSEMOND LAP TIME,Emily ROSEMOND ELAPSED TIME,Amelie GOULET-NADON POSITION,Amelie GOULET-NADON LAP TIME,Amelie GOULET-NADON ELAPSED TIME
2,19.314,19.314,1,17.993,17.993,3,19.417,19.417
3,11.843,31.157,1,10.799,28.792,2,10.805,30.222
3,10.085,41.242,1,10.777,39.568,2,9.706,39.928
3,10.311,51.552,1,11.192,50.759,2,10.927,50.854
3,10.522,1:02.074,1,11.168,1:01.927,2,11.077,1:01.931
2,11.097,1:13.170,3,11.317,1:13.244,1,11.157,1:13.087
2,10.400,1:23.570,3,11.527,1:24.770,1,10.186,1:23.273
1,9.893,1:33.463,3,11.782,1:36.552,2,10.321,1:33.593
1,10.55,1:44.005,3,12.42,1:48.972,2,10.45,1:44.040
