BOTTER GOMEZ Nicole POSITION,BOTTER GOMEZ Nicole LAP TIME,BOTTER GOMEZ Nicole ELAPSED TIME,GAERTNER Anna Katharina POSITION,GAERTNER Anna Katharina LAP TIME,GAERTNER Anna Katharina ELAPSED TIME,SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME,Sandra TRUSOVA POSITION,Sandra TRUSOVA LAP TIME,Sandra TRUSOVA ELAPSED TIME,Maria GARKOVA POSITION,Maria GARKOVA LAP TIME,Maria GARKOVA ELAPSED TIME,ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME,Ekaterina KRASNOVA POSITION,Ekaterina KRASNOVA LAP TIME,Ekaterina KRASNOVA ELAPSED TIME
2,10.80,10.80,1,10.66,10.66,3,10.92,10.92,5,11.23,11.23,6,11.37,11.37,7,11.56,11.56,4,11.09,11.09
2,15.67,26.47,1,15.69,26.35,3,15.64,26.56,5,15.61,26.84,7,15.57,26.94,5,15.28,26.84,4,15.63,26.72
3,13.11,39.58,2,13.14,39.49,4,13.10,39.66,6,13.01,39.85,7,13.07,40.01,1,12.57,39.41,5,13.02,39.74
2,12.56,52.14,3,12.77,52.26,4,12.69,52.35,6,12.74,52.59,7,12.67,52.68,1,12.58,51.99,5,12.74,52.48
2,12.33,1:04.47,3,12.32,1:04.58,4,12.33,1:04.68,6,12.30,1:04.89,7,12.28,1:04.96,1,12.32,1:04.31,5,12.30,1:04.78
3,11.72,1:16.19,2,11.55,1:16.13,4,11.54,1:16.22,6,11.58,1:16.47,7,11.62,1:16.58,1,11.76,1:16.07,5,11.58,1:16.36
3,10.49,1:26.68,2,10.46,1:26.59,4,10.62,1:26.84,5,10.63,1:27.10,7,10.73,1:27.31,1,10.39,1:26.46,6,10.86,1:27.22
1,9.89,1:36.57,2,10.07,1:36.66,3,9.92,1:36.76,5,10.23,1:37.33,7,10.68,1:37.99,4,10.37,1:36.83,6,10.57,1:37.79
1,10.07,1:46.64,2,10.08,1:46.74,3,10.11,1:46.87,5,10.45,1:47.78,7,10.83,1:48.82,4,10.18,1:47.01,6,11.02,1:48.81
1,9.98,1:56.62,2,10.00,1:56.74,3,10.00,1:56.87,5,10.80,1:58.58,6,11.52,2:00.34,4,10.10,1:57.11,7,11.87,2:00.68
1,10.14,2:06.76,2,10.08,2:06.82,3,10.08,2:06.95,5,11.15,2:09.73,6,12.37,2:12.71,4,10.54,2:07.65,7,12.20,2:12.88
1,10.34,2:17.10,2,10.36,2:17.18,3,10.37,2:17.32,5,11.61,2:21.34,6,12.74,2:25.45,4,11.26,2:18.91,7,12.78,2:25.66
1,10.73,2:27.83,2,10.73,2:27.91,3,10.71,2:28.03,5,12.11,2:33.45,6,13.29,2:38.74,4,11.61,2:30.52,7,13.28,2:38.94
1,11.16,2:38.963,2,11.11,2:38.997,3,11.15,2:39.163,5,12.46,2:45.890,7,25.64,3:04.339,4,12.61,2:43.098,6,23.58,3:02.484
