Boren ZUNAC POSITION,Boren ZUNAC LAP TIME,Boren ZUNAC ELAPSED TIME,Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME
2,12.52,12.52,4,12.61,12.61,3,12.60,12.60,1,12.34,12.34
3,9.75,22.27,2,9.24,21.85,4,9.77,22.37,1,9.12,21.46
4,9.60,31.87,2,9.19,31.04,3,8.96,31.33,1,9.29,30.75
4,9.91,41.78,2,9.43,40.47,3,9.35,40.68,1,9.45,40.20
4,10.30,52.08,2,9.61,50.08,3,9.80,50.48,1,9.64,49.84
4,10.59,1:02.67,3,10.04,1:00.12,2,9.41,59.89,1,9.80,59.64
4,11.07,1:13.74,3,10.21,1:10.33,2,9.89,1:09.78,1,9.96,1:09.60
4,11.63,1:25.37,3,10.66,1:20.99,1,9.70,1:19.48,2,10.21,1:19.81
4,11.99,1:37.355,3,10.91,1:31.898,1,9.90,1:29.380,2,10.27,1:30.071
