VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Natallia TSAULIKA POSITION,Natallia TSAULIKA LAP TIME,Natallia TSAULIKA ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME
2,14.60,14.60,3,14.72,14.72,4,14.83,14.83,1,14.40,14.40,5,14.98,14.98
2,11.42,26.02,4,11.44,26.16,5,11.46,26.29,1,11.47,25.87,3,11.05,26.03
3,10.50,36.52,4,10.47,36.63,5,10.43,36.72,1,10.40,36.27,2,10.38,36.41
3,10.66,47.18,4,10.66,47.29,5,10.68,47.40,1,10.71,46.98,2,10.68,47.09
3,10.51,57.69,4,10.50,57.79,5,10.57,57.97,1,10.45,57.43,2,10.52,57.61
2,9.79,1:07.48,3,9.89,1:07.68,5,10.10,1:08.07,1,9.93,1:07.36,4,10.08,1:07.69
3,9.65,1:17.13,1,9.28,1:16.96,5,10.33,1:18.40,2,9.66,1:17.02,4,10.05,1:17.74
3,9.78,1:26.91,1,9.34,1:26.30,5,10.80,1:29.20,2,9.74,1:26.76,4,10.26,1:28.00
3,10.26,1:37.165,1,9.90,1:36.194,5,11.43,1:40.626,2,10.00,1:36.752,4,10.64,1:38.636
