ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,KUCZYNSKI Lukasz POSITION,KUCZYNSKI Lukasz LAP TIME,KUCZYNSKI Lukasz ELAPSED TIME,Kiichi SHIGEHIRO POSITION,Kiichi SHIGEHIRO LAP TIME,Kiichi SHIGEHIRO ELAPSED TIME,MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
1,6.72,6.72,3,7.01,7.01,5,7.30,7.30,4,7.13,7.13,2,6.86,6.86
1,8.80,15.52,3,9.03,16.04,4,8.89,16.19,5,9.07,16.20,2,8.75,15.61
2,8.49,24.01,3,8.28,24.32,4,8.47,24.66,5,8.69,24.89,1,8.33,23.94
3,8.82,32.83,2,8.43,32.75,4,8.44,33.10,5,8.66,33.55,1,8.70,32.64
3,8.80,41.635,2,8.78,41.533,5,18.56,51.669,4,8.79,42.344,1,8.70,41.34
