Mathieu BERNIER POSITION,Mathieu BERNIER LAP TIME,Mathieu BERNIER ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,MIYATA Shogo POSITION,MIYATA Shogo LAP TIME,MIYATA Shogo ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,SIGHEL Pietro POSITION,SIGHEL Pietro LAP TIME,SIGHEL Pietro ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME
2,9.88,9.88,3,10.03,10.03,1,9.72,9.72,5,10.35,10.35,4,10.19,10.19,6,10.63,10.63
2,13.20,23.08,3,13.20,23.23,1,13.23,22.95,5,13.13,23.48,4,13.15,23.34,6,13.01,23.64
2,11.98,35.06,3,11.96,35.19,1,12.02,34.97,5,11.91,35.39,4,11.97,35.31,6,11.95,35.59
3,11.68,46.74,4,11.74,46.93,1,11.66,46.63,2,11.32,46.71,5,11.74,47.05,6,11.56,47.15
3,10.75,57.49,4,10.67,57.60,2,10.77,57.40,1,10.53,57.24,6,10.65,57.70,5,10.49,57.64
6,10.10,1:07.59,4,9.89,1:07.49,1,9.97,1:07.37,2,10.16,1:07.40,5,9.88,1:07.58,3,9.79,1:07.43
6,9.51,1:17.10,4,9.45,1:16.94,2,9.41,1:16.78,3,9.48,1:16.88,5,9.43,1:17.01,1,9.31,1:16.74
6,9.68,1:26.78,4,9.68,1:26.62,3,9.67,1:26.45,2,9.54,1:26.42,5,9.71,1:26.72,1,9.62,1:26.36
5,9.67,1:36.45,4,9.74,1:36.36,3,9.76,1:36.21,1,9.73,1:36.15,6,9.86,1:36.58,1,9.79,1:36.15
5,9.06,1:45.51,4,9.08,1:45.44,1,8.96,1:45.17,1,9.02,1:45.17,6,9.05,1:45.63,3,9.23,1:45.38
5,9.13,1:54.64,4,9.17,1:54.61,1,8.96,1:54.13,2,9.11,1:54.28,6,9.18,1:54.81,3,9.13,1:54.51
4,8.92,2:03.56,5,9.07,2:03.68,1,9.12,2:03.25,2,9.03,2:03.31,6,8.95,2:03.76,3,8.95,2:03.46
3,9.17,2:12.73,5,9.16,2:12.84,1,9.29,2:12.54,2,9.36,2:12.67,6,9.14,2:12.90,4,9.30,2:12.76
6,21.23,2:33.963,3,9.54,2:22.38,1,9.57,2:22.11,2,9.54,2:22.21,4,10.04,2:22.940,5,11.29,2:24.056
