DJORDJEVIC Jovan POSITION,DJORDJEVIC Jovan LAP TIME,DJORDJEVIC Jovan ELAPSED TIME,GIORDANO Marco POSITION,GIORDANO Marco LAP TIME,GIORDANO Marco ELAPSED TIME,KIM Dagyeom POSITION,KIM Dagyeom LAP TIME,KIM Dagyeom ELAPSED TIME,KANCHARIN Natthapat POSITION,KANCHARIN Natthapat LAP TIME,KANCHARIN Natthapat ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
2,13.08,13.08,1,12.95,12.95,4,13.32,13.32,3,13.21,13.21,5,13.49,13.49
2,9.64,22.72,1,9.64,22.59,3,9.48,22.80,4,9.62,22.83,5,9.55,23.04
2,9.27,31.99,1,9.31,31.90,3,9.22,32.02,5,9.43,32.26,4,9.09,32.13
5,9.40,41.39,1,9.02,40.92,2,9.02,41.04,4,9.07,41.33,3,9.07,41.20
5,9.11,50.50,2,9.10,50.02,1,8.96,50.00,4,9.00,50.33,3,9.03,50.23
5,9.07,59.57,2,9.07,59.09,1,9.00,59.00,4,8.99,59.32,3,9.00,59.23
5,9.33,1:08.90,2,9.21,1:08.30,1,9.06,1:08.06,4,9.26,1:08.58,3,9.20,1:08.43
5,9.89,1:18.79,2,9.21,1:17.51,1,9.08,1:17.14,4,9.36,1:17.94,3,9.20,1:17.63
5,10.14,1:28.93,2,9.37,1:26.88,1,9.21,1:26.35,4,9.70,1:27.64,3,9.51,1:27.14
