Shota UEMURA POSITION,Shota UEMURA LAP TIME,Shota UEMURA ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Andrey MIKHASIOV POSITION,Andrey MIKHASIOV LAP TIME,Andrey MIKHASIOV ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Robert LAWRENCE POSITION,Robert LAWRENCE LAP TIME,Robert LAWRENCE ELAPSED TIME
1,8.35,8.35,2,8.43,8.43,4,8.92,8.92,6,9.02,9.02,3,8.45,8.45,5,9.00,9.00
2,11.81,20.16,3,11.76,20.19,5,11.58,20.50,1,10.86,19.88,4,11.89,20.34,6,11.59,20.59
4,11.16,31.32,3,11.12,31.31,6,11.17,31.67,1,11.26,31.14,2,10.80,31.14,5,11.06,31.65
4,11.28,42.60,3,11.16,42.47,6,11.31,42.98,5,11.47,42.61,2,11.17,42.31,1,10.65,42.30
3,10.32,52.92,1,10.11,52.58,6,10.17,53.15,5,10.48,53.09,4,10.76,53.07,2,10.55,52.85
3,10.00,1:02.92,1,10.01,1:02.59,4,9.92,1:03.07,5,10.43,1:03.52,6,17.24,1:10.31,2,10.02,1:02.87
3,10.99,1:13.91,1,10.87,1:13.46,4,11.02,1:14.09,5,10.75,1:14.27,6,14.48,1:24.79,2,11.01,1:13.88
3,10.69,1:24.60,1,10.98,1:24.44,4,10.75,1:24.84,5,10.62,1:24.89,6,10.92,1:35.71,2,10.57,1:24.45
3,10.13,1:34.73,5,10.94,1:35.38,2,9.87,1:34.71,4,10.16,1:35.05,6,10.47,1:46.18,1,9.98,1:34.43
3,10.21,1:44.94,5,10.62,1:46.00,1,9.95,1:44.66,4,10.16,1:45.21,6,10.81,1:56.99,2,10.38,1:44.81
2,10.00,1:54.94,5,11.30,1:57.30,1,10.24,1:54.90,4,10.32,1:55.53,6,11.40,2:08.39,3,10.47,1:55.28
1,10.18,2:05.12,5,11.53,2:08.83,2,10.33,2:05.23,4,10.61,2:06.14,6,11.72,2:20.11,3,10.15,2:05.43
1,10.26,2:15.38,5,11.59,2:20.42,2,10.50,2:15.73,4,11.28,2:17.42,6,11.59,2:31.70,3,10.75,2:16.18
0,,DQ,3,12.06,2:32.475,1,11.43,2:27.160,0,,DQ,4,12.48,2:44.175,2,11.77,2:27.946
