XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,KIM Dagyeom POSITION,KIM Dagyeom LAP TIME,KIM Dagyeom ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME
2,6.85,6.85,1,6.81,6.81,3,7.06,7.06,4,7.29,7.29
3,9.06,15.91,1,8.93,15.74,2,8.78,15.84,4,8.93,16.22
3,8.75,24.66,1,8.69,24.43,2,8.66,24.50,4,8.61,24.83
3,8.73,33.39,1,8.76,33.19,2,8.80,33.30,4,8.71,33.54
3,8.84,42.230,1,8.89,42.075,2,8.87,42.161,4,8.90,42.433
