Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,LIU Ying Bao POSITION,LIU Ying Bao LAP TIME,LIU Ying Bao ELAPSED TIME
2,7.255,7.255,1,7.007,7.007,3,7.284,7.284,4,7.399,7.399
3,9.625,16.879,1,9.541,16.548,2,9.357,16.640,4,9.518,16.917
4,9.257,26.135,3,9.393,25.941,1,8.994,25.634,2,8.939,25.855
3,9.461,35.596,1,9.439,35.380,2,9.847,35.480,4,9.910,35.765
1,10.13,45.718,0,,DQ,0,,DQ,0,,DNF
