Klaudio NASRI POSITION,Klaudio NASRI LAP TIME,Klaudio NASRI ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME
3,7.41,7.41,1,7.00,7.00,2,7.06,7.06,4,13.05,
3,9.46,16.87,1,9.03,16.03,2,9.05,16.11,4,17.17,
3,9.02,25.89,2,8.61,24.64,1,8.41,24.52,4,11.24,
3,9.23,35.12,2,8.78,33.42,1,8.67,33.19,4,10.27,
3,9.40,44.52,2,8.65,42.07,1,8.76,41.95,4,13.72,1:05.45
