Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Morgan IZYKOWSKI POSITION,Morgan IZYKOWSKI LAP TIME,Morgan IZYKOWSKI ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME
1,13.45,13.45,4,13.89,13.89,2,13.56,13.56,3,13.73,13.73,5,14.01,14.01
1,10.96,24.41,4,10.79,24.68,3,10.88,24.44,2,10.70,24.43,5,10.81,24.82
2,10.46,34.87,4,10.41,35.09,3,10.57,35.01,1,10.34,34.77,5,10.38,35.20
2,10.07,44.94,4,10.03,45.12,3,10.02,45.03,1,10.07,44.84,5,10.01,45.21
2,9.83,54.77,4,9.87,54.99,3,9.84,54.87,1,9.85,54.69,5,9.86,55.07
2,9.54,1:04.31,4,9.55,1:04.54,3,9.58,1:04.45,1,9.56,1:04.25,5,9.53,1:04.60
1,9.49,1:13.80,4,9.57,1:14.11,3,9.55,1:14.00,2,9.64,1:13.89,5,9.59,1:14.19
1,9.76,1:23.56,4,9.75,1:23.86,3,9.76,1:23.76,2,9.78,1:23.67,5,9.76,1:23.95
1,9.91,1:33.468,4,9.92,1:33.780,3,9.89,1:33.645,2,9.89,1:33.560,5,10.15,1:34.100
