KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME
1,6.95,6.95,2,7.05,7.05,3,7.17,7.17,4,7.28,7.28
1,8.94,15.89,2,8.91,15.96,3,9.06,16.23,4,9.10,16.38
1,8.42,24.31,2,8.42,24.38,3,8.53,24.76,4,8.56,24.94
1,8.88,33.19,2,8.89,33.27,3,8.74,33.50,4,8.79,33.73
2,9.17,42.359,1,8.93,42.198,3,8.88,42.379,4,8.97,42.698
