CHANG Hui POSITION,CHANG Hui LAP TIME,CHANG Hui ELAPSED TIME,Tereza PFEIFEROVA POSITION,Tereza PFEIFEROVA LAP TIME,Tereza PFEIFEROVA ELAPSED TIME,Eszter TOTH POSITION,Eszter TOTH LAP TIME,Eszter TOTH ELAPSED TIME,Marijn WIERSMA POSITION,Marijn WIERSMA LAP TIME,Marijn WIERSMA ELAPSED TIME,Stephanie FABIAN POSITION,Stephanie FABIAN LAP TIME,Stephanie FABIAN ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,DUBROVA Uliana POSITION,DUBROVA Uliana LAP TIME,DUBROVA Uliana ELAPSED TIME
5,11.50,11.50,2,11.05,11.05,3,11.20,11.20,7,11.82,11.82,4,11.32,11.32,1,11.04,11.04,6,11.71,11.71
5,16.12,27.62,3,16.29,27.34,2,15.97,27.17,7,16.16,27.98,4,16.08,27.40,1,15.99,27.03,6,16.08,27.79
5,14.03,41.65,3,14.01,41.35,2,14.05,41.22,7,13.96,41.94,4,14.08,41.48,1,14.08,41.11,6,14.00,41.79
5,14.15,55.80,3,14.15,55.50,2,14.18,55.40,7,14.19,56.13,4,14.16,55.64,1,14.17,55.28,6,14.04,55.83
5,12.66,1:08.46,1,12.61,1:08.11,3,12.86,1:08.26,7,12.56,1:08.69,4,12.71,1:08.35,2,12.90,1:08.18,6,12.67,1:08.50
4,11.16,1:19.62,1,11.24,1:19.35,3,11.18,1:19.44,7,11.20,1:19.89,5,11.35,1:19.70,1,11.17,1:19.35,6,11.33,1:19.83
6,10.96,1:30.58,2,10.97,1:30.32,4,11.00,1:30.44,3,10.47,1:30.36,5,10.86,1:30.56,1,10.86,1:30.21,7,10.79,1:30.62
6,10.48,1:41.06,3,10.20,1:40.52,4,10.22,1:40.66,2,10.03,1:40.39,5,10.24,1:40.80,1,10.13,1:40.34,7,10.62,1:41.24
6,10.04,1:51.10,3,10.10,1:50.62,4,10.07,1:50.73,2,10.07,1:50.46,5,10.10,1:50.90,1,10.08,1:50.42,7,10.54,1:51.78
6,10.23,2:01.33,3,10.14,2:00.76,4,10.19,2:00.92,2,10.13,2:00.59,5,10.26,2:01.16,1,10.09,2:00.51,7,10.98,2:02.76
6,10.61,2:11.94,3,9.91,2:10.67,4,9.93,2:10.85,2,9.98,2:10.57,5,10.65,2:11.81,1,9.95,2:10.46,7,11.42,2:14.18
5,10.88,2:22.82,3,10.05,2:20.72,4,10.06,2:20.91,2,10.03,2:20.60,6,11.37,2:23.18,1,10.01,2:20.47,7,11.74,2:25.92
5,10.93,2:33.75,3,10.06,2:30.78,4,10.28,2:31.19,2,10.06,2:30.66,6,11.59,2:34.77,1,10.09,2:30.56,7,12.01,2:37.93
5,11.33,2:45.08,3,10.12,2:40.90,4,10.61,2:41.80,2,10.11,2:40.77,6,12.02,2:46.79,1,10.13,2:40.69,7,12.51,2:50.44
